process_name,process_family,primary_mechanism,requires_martensite,requires_diffusion,requires_precipitation,quench_required,min_carbon_level,nitride_formers_required,typical_temp_range_c,typical_case_depth_mm,distortion_risk,cost_level,cycle_time_level,benefit_wear_resistance,benefit_fatigue_life,benefit_strength,benefit_toughness,benefit_corrosion_resistance,benefit_dimensional_stability,loss_ductility,loss_toughness,loss_corrosion_resistance,loss_dimensional_accuracy,loss_weldability,compatible_material_families,notes_for_engine_logic,,resp_wear_resistance,resp_fatigue_life,resp_strength,resp_toughness,resp_corrosion_resistance,resp_dimensional_stability,resp_ductility,resp_weldability,resp_cost,resp_cycle_time
Full Annealing,auxiliary,phase_stabilization,FALSE,FALSE,FALSE,FALSE,none,FALSE,750-900,0,low,low,high,-2,-1,-2,3,0,3,0,0,0,0,0,"plain_carbon_steel,alloy_steel",softening_and_stress_relief_only,,-0.6,0,-0.8,0.8,0,0.2,0.9,0.5,0.2,0.4
Normalizing,auxiliary,phase_stabilization,FALSE,FALSE,FALSE,FALSE,none,FALSE,800-950,0,medium,low,medium,-1,0,-1,2,0,1,0,-1,0,0,0,"plain_carbon_steel,alloy_steel",grain_refinement_no_quench,,0,0,-0.4,0.4,0,0,0.2,0.2,0.1,0.2
Spheroidizing,auxiliary,phase_stabilization,FALSE,FALSE,FALSE,FALSE,medium,FALSE,700-750,0,low,low,high,-3,-2,-3,3,0,3,0,0,0,0,0,"high_carbon_steel,tool_steel",preformability_treatment,,-0.5,0,-0.7,0.6,0,0.2,0.8,0.4,0.3,0.5
Quench and Tempering,through_hardening,martensitic_transformation,TRUE,FALSE,FALSE,TRUE,medium,FALSE,800-900,0,high,medium,high,3,3,5,2,0,-1,-3,-2,0,-3,-2,"plain_carbon_steel,alloy_steel",bulk_strength_via_martensite,,0.4,0.6,0.8,0.4,0,-0.4,-0.2,-0.4,0.3,0.3
Martempering,through_hardening,martensitic_transformation,TRUE,FALSE,FALSE,TRUE,medium,FALSE,800-900,0,medium,medium,high,3,3,5,3,0,0,-3,-1,0,-2,-2,alloy_steel,reduced_quench_gradient,,0.4,0.6,0.8,0.5,0,-0.4,-0.2,-0.4,0.3,0.3
Austempering,through_hardening,phase_stabilization,TRUE,FALSE,FALSE,TRUE,medium,FALSE,300-400,0,low,medium,medium,3,4,4,4,0,1,-2,0,0,-1,-1,alloy_steel,bainitic_structure_required,,0.5,0.6,0.7,0.5,0,-0.3,-0.1,-0.3,0.3,0.4
Vacuum Hardening,through_hardening,martensitic_transformation,TRUE,FALSE,FALSE,TRUE,medium,FALSE,1000-1200,0,medium,high,high,3,3,5,2,0,1,-3,-2,0,-1,-2,"tool_steel,alloy_steel",low_oxidation_environment,,0.5,0.5,0.8,0.3,0.1,-0.3,-0.2,-0.3,0.5,0.4
Induction Hardening,surface_hardening,martensitic_transformation,TRUE,FALSE,FALSE,TRUE,medium,FALSE,800-950,02-May,medium,medium,low,4,4,3,0,0,-1,-2,-2,0,-2,-2,medium_carbon_steel,localized_surface_only,,0.9,0.6,0.8,-0.4,0,-0.3,-0.5,-0.6,0.3,0.2
Flame Hardening,surface_hardening,martensitic_transformation,TRUE,FALSE,FALSE,TRUE,medium,FALSE,800-950,02-Jun,high,low,low,4,4,3,0,0,-2,-2,-2,0,-3,-2,medium_carbon_steel,high_distortion_risk,,0.9,0.5,0.7,-0.5,0,-0.5,-0.6,-0.6,0.2,0.2
Laser Surface Hardening,surface_hardening,martensitic_transformation,TRUE,FALSE,FALSE,TRUE,medium,FALSE,900-1200,0.5-2,low,high,low,4,4,3,0,0,0,-2,-2,0,-1,-2,medium_carbon_steel,precision_energy_input,,1,0.6,0.8,-0.3,0,-0.2,-0.4,-0.5,0.6,0.3
Electron Beam Hardening,surface_hardening,martensitic_transformation,TRUE,FALSE,FALSE,TRUE,medium,FALSE,900-1200,0.5-2,low,high,low,4,4,3,0,0,0,-2,-2,0,-1,-2,medium_carbon_steel,vacuum_required,,1,0.6,0.8,-0.3,0,-0.2,-0.4,-0.5,0.7,0.3
Carburizing,thermochemical,carbon_diffusion,TRUE,TRUE,FALSE,TRUE,low,FALSE,900-950,0.8-2.5,high,medium,high,5,4,4,0,0,-2,-3,-3,0,-3,-3,low_carbon_steel,deep_case_high_stress,,1,0.4,0.8,-0.6,0,-0.6,-0.6,-0.6,0.4,0.5
Vacuum Carburizing,thermochemical,carbon_diffusion,TRUE,TRUE,FALSE,TRUE,low,FALSE,950-1050,0.5-2.0,medium,high,medium,5,4,4,0,0,-1,-3,-3,0,-2,-3,low_carbon_steel,controlled_carbon_potential,,1,0.4,0.8,-0.6,0,-0.4,-0.6,-0.6,0.6,0.6
Carbonitriding,thermochemical,carbon_nitrogen_diffusion,TRUE,TRUE,FALSE,TRUE,low,FALSE,800-880,0.2-0.8,medium,medium,medium,4,4,3,0,0,-1,-2,-2,0,-2,-3,low_carbon_steel,shallow_fast_case,,1,0.4,0.8,-0.6,0,-0.6,-0.6,-0.6,0.4,0.5
Ferritic Nitrocarburizing,thermochemical,nitrogen_diffusion,FALSE,TRUE,FALSE,FALSE,none,FALSE,500-600,0.1-0.3,low,medium,medium,4,4,1,1,1,2,-1,0,0,0,-2,plain_carbon_steel,no_quench_low_distortion,,0.9,0.7,0.3,-0.3,0.4,0.6,-0.3,-0.4,0.4,0.4
Gas Nitriding,thermochemical,nitrogen_diffusion,FALSE,TRUE,FALSE,FALSE,none,TRUE,500-550,0.3-0.7,low,high,high,5,5,2,0,1,2,-2,-1,0,0,-3,alloy_steel,requires_nitride_formers,,0.9,0.7,0.4,-0.3,0.4,0.6,-0.3,-0.4,0.4,0.5
Plasma (Ion) Nitriding,thermochemical,nitrogen_diffusion,FALSE,TRUE,FALSE,FALSE,none,TRUE,450-550,0.2-0.6,low,high,medium,5,5,2,0,1,2,-2,-1,0,0,-3,alloy_steel,better_control,,0.9,0.7,0.4,-0.3,0.5,0.6,-0.3,-0.4,0.5,0.4
Salt Bath Nitriding,thermochemical,nitrogen_diffusion,FALSE,TRUE,FALSE,FALSE,none,TRUE,560-580,0.1-0.4,low,medium,low,4,4,1,0,1,1,-1,-1,0,0,-3,plain_carbon_steel,fast_cycle,,0.9,0.7,0.4,-0.3,0.4,0.6,-0.3,-0.4,0.3,0.3
Boriding,thermochemical,surface_compound_layer,FALSE,TRUE,FALSE,FALSE,none,FALSE,800-1000,0.05-0.2,medium,high,high,5,2,2,-3,1,-2,-4,-4,0,-3,-4,tool_steel,very_brittle_layer,,1,0.2,0.6,-0.9,0.6,-0.7,-0.9,-0.8,0.6,0.6
Aluminizing,surface_engineering,surface_compound_layer,FALSE,TRUE,FALSE,FALSE,none,FALSE,700-1000,0.05-0.2,medium,high,high,3,1,1,-1,5,0,-1,-1,0,-2,-3,alloy_steel,oxidation_resistance,,0.6,0,0,-0.4,0.8,-0.4,-0.3,-0.5,0.6,0.6
Chromizing,surface_engineering,surface_compound_layer,FALSE,TRUE,FALSE,FALSE,none,FALSE,900-1100,0.05-0.3,medium,high,high,4,2,2,-1,4,-1,-2,-2,0,-2,-3,alloy_steel,corrosion_and_wear,,0.7,0.1,0.1,-0.5,0.9,-0.4,-0.4,-0.6,0.6,0.6
Precipitation Hardening,precipitation,precipitation_hardening,FALSE,FALSE,TRUE,FALSE,none,FALSE,450-620,0,low,medium,medium,3,3,4,1,1,1,-2,-1,0,0,-2,precipitation_hardening_steel,alloy_specific,,0.4,0.6,0.9,-0.4,0,-0.1,-0.4,-0.3,0.4,0.4
Cryogenic Treatment,auxiliary,phase_stabilization,TRUE,FALSE,FALSE,FALSE,medium,FALSE,-116,0,low,medium,medium,2,2,1,0,0,2,0,0,0,0,0,tool_steel,retained_austenite_reduction,,0.4,0.4,0.3,0,0,0.1,0,0,0.2,0.2
Cold Working,mechanical,work_hardening,FALSE,FALSE,FALSE,FALSE,none,FALSE,ambient,0,medium,low,low,2,3,3,-3,0,-2,-4,-4,0,-2,-3,low_carbon_steel,no_bulk_heat,,0.4,0.8,1,-0.8,0,-0.6,-1,-0.8,0.2,0.2
Shot Peening,mechanical,residual_stress,FALSE,FALSE,FALSE,FALSE,none,FALSE,ambient,0.1-0.3,low,low,low,3,5,1,0,0,2,0,0,0,0,0,all_steels,fatigue_surface_only,,0.4,1,0.2,0,0,0.3,0,0,0.2,0.2
Roller Burnishing,mechanical,residual_stress,FALSE,FALSE,FALSE,FALSE,none,FALSE,ambient,0.05-0.2,low,low,low,3,4,1,0,0,3,0,0,0,0,0,ductile_steels,needs_smooth_surface,,0.5,0.7,0.3,0.1,0,0.6,0,0,0.2,0.2
Surface Mechanical Attrition Treatment (SMAT),mechanical,work_hardening,FALSE,FALSE,FALSE,FALSE,none,FALSE,ambient,0.02-0.1,medium,medium,medium,3,4,2,-1,0,1,-2,-2,0,-1,-1,all_steels,nanostructured_surface,,0.5,0.6,0.6,-0.8,0,-0.2,-0.7,-0.5,0.3,0.3
Physical Vapor Deposition (PVD) Coating,surface_engineering,surface_compound_layer,FALSE,FALSE,FALSE,FALSE,none,FALSE,200-500,0.002-0.01,low,high,medium,5,3,1,-1,4,2,-1,-1,0,0,0,all_steels,thin_hard_coating,,1,0.2,0.2,-0.5,0.8,-0.2,-0.5,-0.6,0.8,0.6
Chemical Vapor Deposition (CVD) Coating,surface_engineering,surface_compound_layer,FALSE,TRUE,FALSE,FALSE,none,FALSE,800-1000,0.005-0.02,medium,high,high,5,3,1,-1,4,1,-1,-1,0,-1,0,all_steels,high_temp_process,,1,0.2,0.2,-0.5,0.8,-0.2,-0.5,-0.6,0.8,0.6
Thermal Spraying,surface_engineering,surface_compound_layer,FALSE,FALSE,FALSE,FALSE,none,FALSE,ambient-300,0.1-1.0,medium,medium,low,4,2,1,-1,3,0,-1,-1,0,-2,0,all_steels,no_diffusion_bond,,0.6,0.1,0.2,-0.6,0.6,-0.4,-0.4,-0.6,0.5,0.4
